{'Recall': array([0.15083242]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.16048584]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.15615831]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.15154858]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.16395494]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.15543269]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.15468594]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.16520237]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.15623278]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.15578438]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.16445948]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.15832028]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.15248473]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.16148592]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.15730198]), 'dataset': 'amazonbook', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.2'}
