{'Recall': array([0.38613242]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.39333748]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.39285831]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.38344858]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.39613822]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.39453269]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.38048594]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.40002808]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.39563278]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.37838438]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.39286000]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.39072028]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.37738473]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.39077167]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.38266382]), 'dataset': 'lastfm_kg', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.2'}
