{'Recall': array([0.33613242]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.34695850]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.34085831]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 3.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.33544858]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.3496542 ]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.34153269]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 5.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.33628594]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.35023284]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.34463278]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 10.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.33838438]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.34440038]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.34572028]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 20.0, 'hyper_SSM_Regulation': '0.2'}
{'Recall': array([0.33738473]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.05'}
{'Recall': array([0.34239258]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.1'}
{'Recall': array([0.34240198]), 'dataset': 'movielens1m_kg', 'hyper_WORK2_cluster_num': 50.0, 'hyper_SSM_Regulation': '0.2'}
